PROGROGRAMMA:,LOTTO:,PEZZI FATTI:,COLLAUDATO:,MONTATO:,DATA:,ORA:,SCARTI_CH:,RODAGGIO/SCAMBIO AP  ,RODAGGIO/SCAMBIO BP  ,SCAMBIO SPOLA AP B BP ,SCAMBIO SPOLA BP B AP ,TENUTA AP B12(BP) 1-2-4-5,TENUTA AP B14(BP) 1-4-2-3,TENUTA BP B12(AP) 1-2-4-5,TENUTA BP B14(AP) 1-4-2-3,TENUTA AP  1,TENUTA BP  1,TENUTA AP PN12 1-2-4-5,TENUTA BP PN12 1-2-4-5,TENUTA AP PN14 1-4-2-3,TENUTA BP PN14 1-4-2-3,TENUTA AP PN10 1 2-3,TENUTA BP PN10 1 2-3,TENUTA AP M 1-2-4-5,TENUTA BP M 1-2-4-5,TENUTA AP M 1-4-2-3,TENUTA BP M 1-4-2-3,TENUTA AP B (AP)SP 12 1-2,TENUTA BP B (BP)SP 12 1-2,TENUTA AP PN DX 1-2,TENUTA AP PN SX 1-2,TENUTA AZ AP  1-2,TENUTA AZ AP  1-4,TENUTA AZ BP  1-2,TENUTA AZ BP  1-4,TENUTA CENTRI APERTI AP  1 2-4,TENUTA CENTRI APERTI BP  1 2-4,TENUTA CENTRI CHIUSI AP  2-4,TENUTA CENTRI CHIUSI AP  1 2-4,TENUTA CENTRI CHIUSI BP  2-4,TENUTA CENTRI CHIUSI BP  1 2-4,TENUTA CP AP  1 2-4,TENUTA CP BP  1 2-4,TENUTA INTERVENTO AZ AP  1-2,TENUTA INTERVENTO AZ AP  1-4,TENUTA INTERVENTO AZ AP SPOLA BP 12  1-2/4-5,TENUTA INTERVENTO AZ AP SPOLA BP 14  1-4/2-3,TENUTA OR INTERNO AP  2-3 4-5,VUOTO   ,PORTATA   ,ALTRO-VIBRAZIONE RELIEVING NO RELIEVING SCIVOLAMEN,ALTRO AP CURVA DERIVATA ISTERESI   ,SPECIALE PULSANTI   ,,,,
HP1V-A,9053970,10,ROBY,ROBY,2018/06/14,14:27:36,9053970_20180614_CH_02,   4,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   5,   0,   0,   0,   0,   0,   0,   0,   0,


HP1V-A,9053970,10,ROBY,ROBY,2018/06/14,14:27:38,9053970_20180614_CH_01,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   6,   0,   0,   0,   0,   0,   0,   0,   0,


FP2V-CSR,9054026,0,,,2018/06/14,14:27:45,9054026_20180614_CH_01,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,


FP2V-CSR,9054026,0,,,2018/06/14,14:27:46,9054026_20180614_CH_02,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,


FP2V-CQR,9054026,25,ROBY,PANNI,2018/06/14,17:02:59,9054026_20180614_CH_01,  18,   0,   0,   0,   1,   7,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   4,  11,   0,   0,   0,   0,   0,   0,   0,   0,   0,


FP2V-CQR,9054026,25,ROBY,PANNI,2018/06/14,17:03:00,9054026_20180614_CH_02,  10,   0,   0,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   4,  14,   0,   0,   0,   0,   0,   0,   0,   0,   0,


FP2V-CRR,9054026,50,ROBY,PANNI,2018/06/15,11:06:39,9054026_20180615_CH_01,   5,   0,   0,   0,   1,   2,   0,   1,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   4,   3,   0,   0,   0,   0,   0,   0,   0,   0,   0,


FP2V-CRR,9054026,50,ROBY,PANNI,2018/06/15,11:06:41,9054026_20180615_CH_02,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,
